Left,Top,Position
13,580,Position 1
586,348,Position 2
485,451,Position 3
499,470,Position 4
649,523,Position 5
397,240,Position 6
163,518,Position 7
565,533,Position 8
286,493,Position 9
519,435,Position 10
568,406,Position 11
473,382,Position 12
337,345,Position 13
574,425,Position 14
500,397,Position 15
578,575,Position 16
546,400,Position 17
170,489,Position 18
413,268,Position 19
771,54,Position 20
771,54,Position 21
477,289,Position 22
331,339,Position 23
484,347,Position 24
348,433,Position 25
506,179,Position 26
577,385,Position 27
622,472,Position 28
622,472,Position 29
622,472,Position 30
520,262,Position 31
515,369,Position 32
500,350,Position 33
344,343,Position 34
351,349,Position 35
160,508,Position 36
449,421,Position 37
481,320,Position 38
547,335,Position 39
337,425,Position 40
227,495,Position 41
227,495,Position 42
459,415,Position 43
386,437,Position 44
355,383,Position 45
450,504,Position 46
311,373,Position 47
311,373,Position 48
311,373,Position 49
546,539,Position 50
174,469,Position 51
515,235,Position 52
432,495,Position 53
432,495,Position 54
532,480,Position 55
517,195,Position 56
553,495,Position 57
530,412,Position 58
369,441,Position 59
450,197,Position 60
220,471,Position 61
462,390,Position 62
497,314,Position 63
453,435,Position 64
358,345,Position 65
400,369,Position 66
462,367,Position 67
506,422,Position 68
191,87,Position 69
451,406,Position 70
338,355,Position 71
669,486,Position 72
680,222,Position 73
656,362,Position 74
531,446,Position 75
257,519,Position 76
595,319,Position 77
468,546,Position 78
595,373,Position 79
555,173,Position 80
174,479,Position 81
612,528,Position 82
437,361,Position 83
344,326,Position 84
458,339,Position 85
270,253,Position 86
247,376,Position 87
570,483,Position 88
